"cuadrante","crime","date","count","year","sector","population"
"C-1.1.1","Robo a negocio C/V",Aug 2013,1,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo a negocio C/V",Sep 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo a negocio C/V",Oct 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo a negocio C/V",Dec 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo a negocio C/V",Jan 2014,0,2014,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo a negocio C/V",Feb 2014,0,2014,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo a negocio C/V",Mar 2014,0,2014,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo a negocio C/V",Apr 2014,0,2014,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo de vehiculo automotor C/V",Jan 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo de vehiculo automotor C/V",Feb 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo de vehiculo automotor C/V",Mar 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo de vehiculo automotor C/V",Apr 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo de vehiculo automotor C/V",May 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo de vehiculo automotor C/V",Jun 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo de vehiculo automotor C/V",Jul 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Robo a negocio C/V",Nov 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Homicidio doloso",Jan 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Homicidio doloso",Feb 2013,0,2013,"ANGEL - ZONA ROSA",1594
"C-1.1.1","Homicidio doloso",Mar 2013,0,2013,"ANGEL - ZONA ROSA",1594
